File: tigercompare
Build ID: 7a5ee42b2e241305f65786d45e3a9f0197b5336c
Type: cpu
Time: 2026-08-22 07:12:13 PDT
Duration: 198.58ms, Total samples = 580ms (292.07%)
Showing nodes accounting for 580ms, 100% of 580ms total
      flat  flat%   sum%        cum   cum%
         0     0%   100%       20ms  3.45%  runtime.gcBgMarkWorker
         0     0%   100%       20ms  3.45%  runtime.gcBgMarkWorker.func2
         0     0%   100%       20ms  3.45%  runtime.gcDrain
         0     0%   100%       20ms  3.45%  runtime.gcDrainMarkWorkerDedicated (inline)
         0     0%   100%       20ms  3.45%  runtime.gdestroy
         0     0%   100%       20ms  3.45%  runtime.gfput
         0     0%   100%       80ms 13.79%  runtime.goexit0
         0     0%   100%       20ms  3.45%  runtime.goready (inline)
         0     0%   100%       20ms  3.45%  runtime.growslice
         0     0%   100%       20ms  3.45%  runtime.lock (inline)
         0     0%   100%       20ms  3.45%  runtime.lockWithRank (inline)
         0     0%   100%       10ms  1.72%  runtime.mPark (inline)
         0     0%   100%       10ms  1.72%  runtime.main
         0     0%   100%       30ms  5.17%  runtime.mallocgc
         0     0%   100%       10ms  1.72%  runtime.mallocgcLarge
         0     0%   100%       10ms  1.72%  runtime.mallocgcSmallNoScanSC4
         0     0%   100%       10ms  1.72%  runtime.mapaccess1
         0     0%   100%       10ms  1.72%  runtime.mapaccess2
         0     0%   100%       30ms  5.17%  runtime.mapaccess2_faststr
         0     0%   100%      150ms 25.86%  runtime.mcall
         0     0%   100%       10ms  1.72%  runtime.memclrNoHeapPointersChunked
         0     0%   100%       10ms  1.72%  runtime.memhash
         0     0%   100%       50ms  8.62%  runtime.newstack
         0     0%   100%       10ms  1.72%  runtime.notesleep
         0     0%   100%       50ms  8.62%  runtime.notewakeup
         0     0%   100%       70ms 12.07%  runtime.park_m
         0     0%   100%       20ms  3.45%  runtime.procyield (inline)
         0     0%   100%       20ms  3.45%  runtime.ready
         0     0%   100%       10ms  1.72%  runtime.readyWithTime
         0     0%   100%       10ms  1.72%  runtime.releaseSudog
         0     0%   100%       50ms  8.62%  runtime.resetspinning
         0     0%   100%       40ms  6.90%  runtime.runqgrab
         0     0%   100%       40ms  6.90%  runtime.runqsteal
         0     0%   100%       20ms  3.45%  runtime.scanObject
         0     0%   100%      130ms 22.41%  runtime.schedule
         0     0%   100%       10ms  1.72%  runtime.selectgo
         0     0%   100%       20ms  3.45%  runtime.selectnbsend
         0     0%   100%       10ms  1.72%  runtime.semrelease1
         0     0%   100%       30ms  5.17%  runtime.send
         0     0%   100%       20ms  3.45%  runtime.sendDirect
         0     0%   100%       20ms  3.45%  runtime.stackcacherelease
         0     0%   100%       10ms  1.72%  runtime.stackpoolfree
         0     0%   100%       50ms  8.62%  runtime.startm
         0     0%   100%       40ms  6.90%  runtime.stealWork
         0     0%   100%       10ms  1.72%  runtime.stopm
         0     0%   100%       10ms  1.72%  runtime.sweepone
         0     0%   100%       40ms  6.90%  runtime.systemstack
         0     0%   100%       50ms  8.62%  runtime.wakep
         0     0%   100%       10ms  1.72%  sort.Slice
         0     0%   100%       10ms  1.72%  sort.partition_func
         0     0%   100%       10ms  1.72%  sort.pdqsort_func
         0     0%   100%       10ms  1.72%  strconv.AppendUint (inline)
         0     0%   100%       10ms  1.72%  sync.(*Pool).Get
         0     0%   100%       10ms  1.72%  sync.(*RWMutex).RLock (inline)
         0     0%   100%       10ms  1.72%  sync.(*RWMutex).Unlock
         0     0%   100%       10ms  1.72%  sync.runtime_Semrelease
         0     0%   100%       10ms  1.72%  type:.hash.M1K7M8
